alpha cl cd cm:
  -3.9 -0.04303  0.01703  0.01500
  -3.8 -0.04193  0.01703  0.01462
  -3.7 -0.04083  0.01703  0.01423
  -3.6 -0.03972  0.01703  0.01385
  -3.5 -0.03862  0.01702  0.01346
  -3.4 -0.03752  0.01702  0.01308
  -3.3 -0.03641  0.01702  0.01269
  -3.2 -0.03531  0.01702  0.01231
  -3.1 -0.03421  0.01702  0.01192
  -3.0 -0.03310  0.01702  0.01154
  -2.9 -0.03200  0.01702  0.01115
  -2.8 -0.03090  0.01702  0.01077
  -2.7 -0.02979  0.01701  0.01038
  -2.6 -0.02869  0.01701  0.01000
  -2.5 -0.02759  0.01701  0.00962
  -2.4 -0.02648  0.01701  0.00923
  -2.3 -0.02538  0.01701  0.00885
  -2.2 -0.02428  0.01701  0.00846
  -2.1 -0.02317  0.01701  0.00808
  -2.0 -0.02207  0.01701  0.00769
  -1.9 -0.02097  0.01701  0.00731
  -1.8 -0.01986  0.01701  0.00692
  -1.7 -0.01876  0.01701  0.00654
  -1.6 -0.01766  0.01701  0.00615
  -1.5 -0.01655  0.01700  0.00577
  -1.4 -0.01545  0.01700  0.00538
  -1.3 -0.01434  0.01700  0.00500
  -1.2 -0.01324  0.01700  0.00462
  -1.1 -0.01214  0.01700  0.00423
  -1.0 -0.01103  0.01700  0.00385
  -0.9 -0.00993  0.01700  0.00346
  -0.8 -0.00883  0.01700  0.00308
  -0.7 -0.00772  0.01700  0.00269
  -0.6 -0.00662  0.01700  0.00231
  -0.5 -0.00552  0.01700  0.00192
  -0.4 -0.00441  0.01700  0.00154
  -0.3 -0.00331  0.01700  0.00115
  -0.2 -0.00221  0.01700  0.00077
  -0.1 -0.00110  0.01700  0.00038
   0.0  0.00000  0.01700  0.00000
   0.1  0.00110  0.01700 -0.00038
   0.2  0.00221  0.01700 -0.00077
   0.3  0.00331  0.01700 -0.00115
   0.4  0.00441  0.01700 -0.00154
   0.5  0.00552  0.01700 -0.00192
   0.6  0.00662  0.01700 -0.00231
   0.7  0.00772  0.01700 -0.00269
   0.8  0.00883  0.01700 -0.00308
   0.9  0.00993  0.01700 -0.00346
   1.0  0.01103  0.01700 -0.00385
   1.1  0.01214  0.01700 -0.00423
   1.2  0.01324  0.01700 -0.00462
   1.3  0.01434  0.01700 -0.00500
   1.4  0.01545  0.01700 -0.00538
   1.5  0.01655  0.01700 -0.00577
   1.6  0.01766  0.01701 -0.00615
   1.7  0.01876  0.01701 -0.00654
   1.8  0.01986  0.01701 -0.00692
   1.9  0.02097  0.01701 -0.00731
   2.0  0.02207  0.01701 -0.00769
   2.1  0.02317  0.01701 -0.00808
   2.2  0.02428  0.01701 -0.00846
   2.3  0.02538  0.01701 -0.00885
   2.4  0.02648  0.01701 -0.00923
   2.5  0.02759  0.01701 -0.00962
   2.6  0.02869  0.01701 -0.01000
   2.7  0.02979  0.01701 -0.01038
   2.8  0.03090  0.01702 -0.01077
   2.9  0.03200  0.01702 -0.01115
   3.0  0.03310  0.01702 -0.01154
   3.1  0.03421  0.01702 -0.01192
   3.2  0.03531  0.01702 -0.01231
   3.3  0.03641  0.01702 -0.01269
   3.4  0.03752  0.01702 -0.01308
   3.5  0.03862  0.01702 -0.01346
   3.6  0.03972  0.01703 -0.01385
   3.7  0.04083  0.01703 -0.01423
   3.8  0.04193  0.01703 -0.01462
   3.9  0.04303  0.01703 -0.01500
   4.0  0.04414  0.01703 -0.01538
   4.1  0.04524  0.01703 -0.01577
   4.2  0.04634  0.01704 -0.01615
   4.3  0.04745  0.01704 -0.01654
   4.4  0.04855  0.01704 -0.01692
   4.5  0.04966  0.01704 -0.01731
   4.6  0.05076  0.01704 -0.01769
   4.7  0.05186  0.01704 -0.01808
   4.8  0.05297  0.01705 -0.01846
   4.9  0.05407  0.01705 -0.01885
   5.0  0.05517  0.01705 -0.01923
   5.1  0.05628  0.01705 -0.01962
   5.2  0.05738  0.01705 -0.02000
   5.3  0.05848  0.01706 -0.02038
   5.4  0.05959  0.01706 -0.02077
   5.5  0.06069  0.01706 -0.02115
   5.6  0.06179  0.01706 -0.02154
   5.7  0.06290  0.01706 -0.02192
   5.8  0.06400  0.01707 -0.02231
   5.9  0.06510  0.01707 -0.02269
   6.0  0.06621  0.01707 -0.02308
   6.1  0.06731  0.01707 -0.02346
   6.2  0.06841  0.01708 -0.02385
   6.3  0.06952  0.01708 -0.02423
   6.4  0.07062  0.01708 -0.02462
   6.5  0.07172  0.01708 -0.02500
   6.6  0.07283  0.01709 -0.02526
   6.7  0.07393  0.01709 -0.02552
   6.8  0.07503  0.01709 -0.02578
   6.9  0.07614  0.01710 -0.02604
   7.0  0.07724  0.01710 -0.02630
   7.1  0.07834  0.01710 -0.02656
   7.2  0.07945  0.01710 -0.02681
   7.3  0.08055  0.01711 -0.02707
   7.4  0.08166  0.01711 -0.02733
   7.5  0.08276  0.01711 -0.02759
   7.6  0.08386  0.01712 -0.02785
   7.7  0.08497  0.01712 -0.02811
   7.8  0.08607  0.01712 -0.02837
   7.9  0.08717  0.01712 -0.02863
   8.0  0.08828  0.01713 -0.02889
   8.1  0.08938  0.01713 -0.02915
   8.2  0.09048  0.01713 -0.02941
   8.3  0.09159  0.01714 -0.02967
   8.4  0.09269  0.01714 -0.02993
   8.5  0.09379  0.01714 -0.03019
   8.6  0.09490  0.01715 -0.03044
   8.7  0.09600  0.01715 -0.03070
   8.8  0.09710  0.01715 -0.03096
   8.9  0.09821  0.01716 -0.03122
   9.0  0.09931  0.01716 -0.03148
   9.1  0.10041  0.01717 -0.03174
   9.2  0.10152  0.01717 -0.03200
   9.3  0.10262  0.01717 -0.03226
   9.4  0.10372  0.01718 -0.03252
   9.5  0.10483  0.01718 -0.03278
   9.6  0.10593  0.01718 -0.03304
   9.7  0.10703  0.01719 -0.03330
