alpha cl cd cm:
 115.0 -0.89627  1.16905 -0.35958
 116.0 -0.92197  1.15977 -0.36164
 117.0 -0.94655  1.15014 -0.36363
 118.0 -0.96997  1.14015 -0.36552
 119.0 -0.99222  1.12982 -0.36730
 120.0 -1.01325  1.11914 -0.36896
 121.0 -1.03305  1.10812 -0.37048
 122.0 -1.05159  1.09676 -0.37184
 123.0 -1.06885  1.08507 -0.37304
 124.0 -1.08481  1.07305 -0.37405
 125.0 -1.09944  1.06070 -0.37487
 126.0 -1.11274  1.04803 -0.37548
 127.0 -1.12468  1.03504 -0.37587
 128.0 -1.13525  1.02174 -0.37602
 129.0 -1.14443  1.00812 -0.37592
 130.0 -1.15223  0.99420 -0.37556
 131.0 -1.15861  0.97997 -0.37493
 132.0 -1.16359  0.96544 -0.37401
 133.0 -1.16715  0.95063 -0.37281
 134.0 -1.16929  0.93552 -0.37130
 135.0 -1.17000  0.92012 -0.36948
 136.0 -1.16765  0.90445 -0.36705
 137.0 -1.16060  0.88850 -0.36369
 138.0 -1.14889  0.87228 -0.35937
 139.0 -1.13256  0.85579 -0.35405
 140.0 -1.11167  0.83905 -0.34773
 141.0 -1.08631  0.82204 -0.34039
 142.0 -1.05658  0.80479 -0.33202
 143.0 -1.02259  0.78729 -0.32262
 144.0 -0.98449  0.76956 -0.31220
 145.0 -0.94241  0.75158 -0.30077
 146.0 -0.89652  0.73338 -0.28834
 147.0 -0.84701  0.71496 -0.27494
 148.0 -0.79407  0.69632 -0.26060
 149.0 -0.73792  0.67746 -0.24536
 150.0 -0.67876  0.65840 -0.22926
 151.0 -0.61684  0.63914 -0.21234
 152.0 -0.55241  0.61969 -0.19467
 153.0 -0.48570  0.60004 -0.17629
 154.0 -0.41699  0.58021 -0.15729
 155.0 -0.34656  0.56021 -0.13771
 156.0 -0.27466  0.54004 -0.11764
 157.0 -0.20160  0.51970 -0.09716
 158.0 -0.12766  0.49920 -0.07634
 159.0 -0.05313  0.47855 -0.05527
 160.0  0.02170  0.45775 -0.03404
 161.0 -0.00650  0.43682 -0.03709
 162.0 -0.03172  0.41575 -0.03966
 163.0 -0.05355  0.39456 -0.04164
 164.0 -0.07135  0.37324 -0.04287
 165.0 -0.08383  0.35181 -0.04301
 166.0 -0.08381  0.33028 -0.04030
 167.0 -0.07782  0.30864 -0.03631
 168.0 -0.07183  0.28691 -0.03248
 169.0 -0.06585  0.26509 -0.02881
 170.0 -0.05986  0.24320 -0.02530
 171.0 -0.05388  0.22122 -0.02195
 172.0 -0.04789  0.19918 -0.01879
 173.0 -0.04190  0.17708 -0.01579
 174.0 -0.03592  0.15493 -0.01298
 175.0 -0.02993  0.13273 -0.01035
 176.0 -0.02394  0.11049 -0.00790
 177.0 -0.01796  0.08821 -0.00564
 178.0 -0.01197  0.06591 -0.00357
 179.0 -0.00599  0.04359 -0.00169
 180.0  0.00000  0.02125  0.00000
